,Vacancies,Companies,Deadlines,Locations,Individual Pages
0,Retail Manager,Adjarabet.am,31 July 2020,Yerevan,https://staff.am/en/retail-manager
1,Գործադիր տնօրեն,Partner Company,17 July 2020,Yerevan,https://staff.am/en/gorcadir-tnoren-3
2,Content Strategist,Cypress,31 July 2020,Yerevan,https://staff.am/en/content-strategist
3,Senior Software Engineer,Workfront Armenia,31 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-73
4,React.js Developer,Fast Shift LLC,31 July 2020,Yerevan,https://staff.am/en/reactjs-developer-93
5,HR Specialist,Veolia Armenia,31 July 2020,Yerevan,https://staff.am/en/hr-specialist-108
6,Scrum Master,Webb Fontaine Holding LLC,24 July 2020,Yerevan,https://staff.am/en/scrum-master-95
7,Digital Marketing Manager,Digitain ,31 July 2020,Yerevan,https://staff.am/en/digital-marketing-manager-39
8,Marketing Administrative Assistant,Globbing,20 July 2020,Yerevan,https://staff.am/en/marketing-administrative-assistant-1
9,IT projects manager,VEON Armenia CJSC,22 July 2020,Yerevan,https://staff.am/en/it-projects-manager-1
10,Senior Mobile Software Engineer in Test,PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-mobile-software-engineer-in-test-19
11, Development senior specialist,VEON Armenia CJSC,22 July 2020,Yerevan,https://staff.am/en/development-senior-specialist-3
12,Նախագծի ղեկավարի օգնական,Atenk Ltd,29 July 2020,Yerevan,https://staff.am/en/naxagci-gekavari-ognakan-10
13,Experienced Project Manager,FLUX Technologies,31 July 2020,Yerevan,https://staff.am/en/experienced-project-manager-8
14,React.js Developer (Mid/Senior),Priotix,31 July 2020,Yerevan,https://staff.am/en/reactjs-developer-midsenior-5
15,Creative Account Manager,Publicis Hepta LLC,15 July 2020,Yerevan,https://staff.am/en/creative-account-manager-1
16,Graphic Designer,Publicis Hepta LLC,15 July 2020,Yerevan,https://staff.am/en/graphic-designer-376
17,QA Engineer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/qa-engineer-509
18,Web Designer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/web-designer-73
19,Product Designer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/product-designer-26
20,Quality Assurance Team Lead,PicsArt,31 July 2020,Yerevan,https://staff.am/en/quality-assurance-team-lead-22
21,QA Engineer (Web),PicsArt,31 July 2020,Yerevan,https://staff.am/en/web-qa-engineer-15
22,"Backend Engineer, Computer Vision",PicsArt,31 July 2020,Yerevan,https://staff.am/en/backend-engineer-computer-vision-13
23,"Backend Engineer, User Behavior",PicsArt,31 July 2020,Yerevan,https://staff.am/en/backend-engineer-user-behavior-13
24,"Senior Backend Engineer, Computer Vision",PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-backend-engineer-computer-vision-13
25,"Senior Backend Engineer, User Behavior",PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-backend-engineer-user-behavior-13
26,"Technical Program Manager, Trust & Safety",PicsArt,31 July 2020,Yerevan,https://staff.am/en/technical-program-manager-trust-safety-6
27,Senior JavaScript Engineer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-javascript-engineer-22
28,Senior Full Stack JavaScript Engineer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-full-stack-javascript-engineer-6
29,Data Scientist,PicsArt,31 July 2020,Yerevan,https://staff.am/en/data-scientist-82
30,Data Engineer (Spark),PicsArt,31 July 2020,Yerevan,https://staff.am/en/data-engineer-spark-6
31,Senior C++ Engineer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-c-developer-125
32,Senior Product Designer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-product-designer-7
33,Senior Frontend Engineer (HTML/CSS),PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-frontend-engineer-htmlcss-1
34,User Success Specialist,PicsArt,31 July 2020,Yerevan,https://staff.am/en/user-success-specialist-1
35,Senior Backend Engineer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-backend-engineer-2
36,C++ Engineer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/c-engineer-7
37,C# Developer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/mid-level-c-developer-6
38,RPA Developer,ACBA-CREDIT AGRICOLE BANK CJSC,31 July 2020,Yerevan,https://staff.am/en/rpa-developer
39,"DevOps Engineer, Communications Services",DataArt Armenia,31 July 2020,Yerevan,https://staff.am/en/devops-engineer-communications-services-1
40,Experienced Project Manager,Devolon Armenia,31 July 2020,Yerevan,https://staff.am/en/experienced-project-manager-4
41,UI/UX Designer,Devolon Armenia,31 July 2020,Yerevan,https://staff.am/en/uiux-designer-401
42,Եվրոպական և միջազգային ծրագրերի համակարգող,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),10 July 2020,Yerevan,https://staff.am/en/evropakan-ev-mijazgayin-cragreri-hamakargog-1
43,Junior C# Developer,AIKODA LLC,31 July 2020,Yerevan,https://staff.am/en/junior-c-developer-1
44,Junior Front-End Developer,AIKODA LLC,31 July 2020,Yerevan,https://staff.am/en/junior-javascript-developer-1
45,User Support Engineer,Evolution Gaming,18 July 2020,Yerevan,https://staff.am/en/user-support-engineer-1
46,iOS Developer,All.me LLC,20 July 2020,Yerevan,https://staff.am/en/ios-developer-229
47,Android Developer-Consultаnt,All.me LLC,16 July 2020,Yerevan,https://staff.am/en/android-developer-consultant-1
48,Support Specialist (With knowledge of Portuguese),All.me LLC,15 July 2020,Yerevan,https://staff.am/en/support-specialist-with-knowledge-of-portuguese-2
49,Automation QA Engineer,The Software Development Company,31 July 2020,Yerevan,https://staff.am/en/automation-qa-engineer-53
50,Digital Marketing Specialist /Storyteller,SFL,30 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-storyteller
51,"Public Communications and Outreach Officer, Armenia Integrity Project",Chemonics International Inc.,08 July 2020,Yerevan,https://staff.am/en/public-communications-and-outreach-officer-armenia-integrity-project
52,Senior React.js Developer,MOA Communications,30 July 2020,Yerevan,https://staff.am/en/senior-reactjs-developer-62
53,"Senior Governance Officer, Armenia Integrity Project",Chemonics International Inc.,08 July 2020,Yerevan,https://staff.am/en/senior-governance-officer
54,"Deputy Chief of Party, Armenia Integrity Project",Chemonics International Inc.,08 July 2020,Yerevan,https://staff.am/en/deputy-chief-of-party
55,Medical equipment representative ,Med Standard,29 July 2020,Yerevan,https://staff.am/en/medical-equipment-representative-2
56,Junior Accountant,Step Consulting LLC,20 July 2020,Yerevan,https://staff.am/en/junior-accountant-21
57,Trainer,«Teghout» CJSC ,08 July 2020,Alaverdi,https://staff.am/en/trainer-16
58,Digital Marketing Specialist,Network Zone,30 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-216
59,Անվտանգության աշխատակից (իգական),Atenk Ltd,15 July 2020,Yerevan,https://staff.am/en/anvtangutyan-asxatakic-igakan-1
60,Graphic Designer ,Network Zone,30 July 2020,Yerevan,https://staff.am/en/graphic-designer-373
61,Senior Product Manager - Mobile Applications,DISQO,30 July 2020,Yerevan,https://staff.am/en/senior-product-manager-mobile-applications-1
62,"Associate Software Development Engineer in Test , Front-End",DISQO,30 July 2020,Yerevan,https://staff.am/en/associate-software-development-engineer-in-test-front-end
63,QA tester, Joomag,30 July 2020,Yerevan,https://staff.am/en/qa-tester-11
64,SMM specialist ,Renderforest,30 July 2020,Yerevan,https://staff.am/en/smm-specialist-333
65,System Administrator/DevOps,Հայ-Թեք Գեթվեյ ՍՊԸ հ/մ,30  July 2020,Yerevan,https://staff.am/en/system-administratordevops-10
66,ՏԵԽՆԻԿԱԿԱՆ ԱՋԱԿՑՈՒԹՅԱՆ ՄԱՍՆԱԳԵՏ,Հայ-Թեք Գեթվեյ ՍՊԸ հ/մ,30 July 2020,Yerevan,https://staff.am/en/texnikakan-ajakcutyan-masnaget-18
67,ՄԱՐՔԵԹԻՆԳԻ ՄԱՍՆԱԳԵՏ,Genacvale Tavern,30 July 2020,Yerevan,https://staff.am/en/marketingi-masnaget-72
68, Translator,FCl Urartu SNGO,30 July 2020,Yerevan,https://staff.am/en/translator-23
69,Experienced UI-UX Designer/UI Artist,MINNOVA.AM,30 July 2020,Yerevan,https://staff.am/en/experienced-ui-ux-designerui-artist
70,Junior/Mid Game UI Engineer (bootcamp),Rockbite Games,08 July 2020,Yerevan,https://staff.am/en/juniormid-game-ui-engineer-bootcamp-1
71,"Chief of Party, Armenia Integrity Project",Chemonics International Inc.,08 July 2020,Yerevan,https://staff.am/en/chief-of-party-armenia-integrity-project
72,Cashier,Ameriabank CJSC,12 July 2020,Yerevan,https://staff.am/en/cashier-49
73, Junior Expert /Facilitator of National Determined Contributions Implementation in Armenia,UNDP Armenia Office,07 July 2020,Yerevan,https://staff.am/en/junior-expert-facilitator-of-national-determined-contributions-implementation-in-armenia
74,«Իջևան» մասնաճյուղի շրջիկ ԸԱ «Տավուշ» ծրագրի սոցիալական աշխատող,SOS Children's Villages Armenia,15 July 2020,Noyemberyan,https://staff.am/en/ijevan-masnacyugi-srjik-a-tavus-cragri-socialakan-asxatog-1
75,Back-End Software Engineer,BIVAC Armenia CJSC,30 July 2020,Yerevan,https://staff.am/en/back-end-software-engineer-6
76,Գլխավոր հաշվապահի տեղակալ,ՇԻՆԱՐԱՐԱԿԱՆ ՍՊԸ,30 July 2020,Yerevan,https://staff.am/en/deputy-chief-accountant-19
77,Front-End Developer,BIVAC Armenia CJSC,30 July 2020,Yerevan,https://staff.am/en/front-end-developer-364
78,Inbound Communication Team Specialist,Ameriabank CJSC,12 July 2020,Yerevan,https://staff.am/en/inbound-communication-team-specialist-2
79,Engineering Project Manager,National Instruments AM LLC,29 July 2020,Yerevan,https://staff.am/en/engineering-project-manager
80,Mid/Senior Angular Developer,Digitain ,15 July 2020,Yerevan,https://staff.am/en/midsenior-angular-developer-9
81,Պրոցեսինգային համակարգի մասնագետ,Easy Pay LLC,29 July 2020,Yerevan,https://staff.am/en/procesingayin-hamakargi-masnaget-1
82,Junior Network administrator,ACBA-CREDIT AGRICOLE BANK CJSC,29 July 2020,Yerevan,https://staff.am/en/junior-network-administrator-1
83,Փաստաբան,Partner Company,29 July 2020,Yerevan,https://staff.am/en/pastaban-14
84,Специалист-Кассир,Ameriabank CJSC,12 July 2020,Yerevan,https://staff.am/en/specialist-kassir-6
85,Sr. Product Manager - Marketing,ServiceTitan,29 July 2020,Yerevan,https://staff.am/en/sr-product-manager-marketing
86,Accountant-cashier,AraratBank OJSC,29 July 2020,Yerevan,https://staff.am/en/accountant-cashier-6
87,PHP Developer,Studio One,29 July 2020,Yerevan,https://staff.am/en/php-developer-202
88,account holder,ՍՎԵՏԱ ՍՊԸ,29 July 2020,Yerevan,https://staff.am/en/account-holder
89,Intermediate Front End Developer (coder),Studio One,29 July 2020,Yerevan,https://staff.am/en/front-end-developer-coder-senior-and-intermediate
90,Senior Software Engineer (Security Compliance),ServiceTitan,29 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-security-compliance
91,System Administrator/DevOps,Studio One,29 July 2020,Yerevan,https://staff.am/en/system-administratordevops-7
92,Accountant,WEISSCO LLC,29 July 2020,Yerevan,https://staff.am/en/accountant-470
93,Helpdesk Technician,DISQO,29 July 2020,Yerevan,https://staff.am/en/helpdesk-technician-9
94,React.js Developer - SpringBuilder,SoftConstruct,29 July 2020,Yerevan,https://staff.am/en/reactjs-developer-springbuilder
95,QA Engineer - SpringBuilder,SoftConstruct,29 July 2020,Yerevan,https://staff.am/en/qa-engineer-springbuilder
96,Manual QA Tester,ServiceTitan,29 July 2020,Yerevan,https://staff.am/en/manual-qa-tester-27
97,Ծրագրերի (ֆոնդհայթայթման) պատասխանատու,The Communities Association of Armenia,08 July 2020,Yerevan,https://staff.am/en/cragreri-fondhaytaytman-patasxanatu
98,Sports Web Designer,Adjarabet.am,15 July 2020,Yerevan,https://staff.am/en/sports-web-designer-1
99,Research Analyst,Adjarabet.am,15 July 2020,Yerevan,https://staff.am/en/research-analyst-13
100,Ծրագրերի մշակման պատասխանատու,The Communities Association of Armenia,08 July 2020,Yerevan,https://staff.am/en/cragreri-msakman-patasxanatu
101,Հարկային հաշվառման մասնագետ,Veolia Armenia,29 July 2020,Yerevan,https://staff.am/en/harkayin-hasvarman-masnaget
102,Մանկավարժ / «Երևանում Սիրիահայ ընտանիքների սոցիալ-տնտեսական ինտեգրումը» ծրագիր,SOS Children's Villages Armenia,15 July 2020,Yerevan,https://staff.am/en/mankavarz-erevanum-siriahay-ntanikneri-social-tntesakan-integrum-cragir-3
103,Խոհարար / «Երևանում Սիրիահայ ընտանիքների սոցիալ-տնտեսական ինտեգրումը» ծրագիր,SOS Children's Villages Armenia,15 July 2020,Yerevan,https://staff.am/en/xoharar-erevanum-siriahay-ntanikneri-social-tntesakan-integrum-cragir-2
104,Marketing Specialist ,AAB Construction,29 July 2020,Yerevan,https://staff.am/en/marketing-specialist-218
105,ASIC Physical Design Engineer/ 25774,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/asic-physical-design-engineer-25774
106,IT Project Manager,Cypress,26 July 2020,Yerevan,https://staff.am/en/it-project-manager-89
107,Senior ASIC Physical Design Engineer/ 25762BR,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-asic-physical-design-engineer-25762br
108,Senior QA Engineer,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-qa-engineer-163
109,Senior R&D Engineer/25405,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-rd-engineer25405
110,ASIC Physical Design Engineer/ 25773,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/asic-physical-design-engineer-25773
111,ASIC Physical Design Engineer/25778,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/asic-physical-design-engineer25778
112,Senior Analog Design Engineer/ 25717BR,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-analog-design-engineer-25717br
113,Analog Design Engineer/25799 ,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/analog-design-engineer25799
114,Scrum Master - SpringBuilder,SoftConstruct,28 July 2020,Yerevan,https://staff.am/en/scrum-master-springbuilder
115,Sales manager,ANITEX LLC,27 July 2020,Yerevan,https://staff.am/en/sales-manager-413
116, Medical Equipment Representative,Concern-Energomash CJSC,17 July 2020,Yerevan,https://staff.am/en/medical-equipment-representative
117,Chief Accountant,Softline Armenia,26 July 2020,Yerevan,https://staff.am/en/chief-accountant-83
118,Software Engineer (m/f/d),PubNative GmbH,26 July 2020,Yerevan,https://staff.am/en/software-engineer-mfd
119,Sales Solution Infrastructure,Softline Armenia,26 July 2020,Yerevan,https://staff.am/en/sales-solution-infrastructure-4
120,Online Store Manager,Softline Armenia,26 July 2020,Yerevan,https://staff.am/en/online-store-manager
121,Վճարումների խորհրդատու,Easy Pay LLC,26 July 2020,Yerevan,https://staff.am/en/vcarumneri-xorhrdatu-2
122,Accountant-cashier,Concern-Energomash CJSC,26 July 2020,Yerevan,https://staff.am/en/accountant-cashier-3
123,HR specialist,SoftConstruct,10 July 2020,Yerevan,https://staff.am/en/hr-specialist-105
124,IT Project Manager,Digitec Innovations LLC,26 July 2020,Yerevan,https://staff.am/en/it-project-manager-86
125,Backend Developer,Digitec Innovations LLC,26 July 2020,Yerevan,https://staff.am/en/backend-developer-34
126,Հաշվետար,Էյ Էմ Գրուպ ՍՊԸ,26 July 2020,Yerevan,https://staff.am/en/hasvetar-54
127,Product Owner,SoftConstruct,26 July 2020,Yerevan,https://staff.am/en/product-owner-137
128,Executive Assistant,Partner Company,26 July 2020,Yerevan,https://staff.am/en/executive-assistant-87
129,Accountant,SoftConstruct,10 July 2020,Yerevan,https://staff.am/en/accountant-467
130,Junior Risk Analyst (mixed shifts),SoftConstruct,15 July 2020,Yerevan,https://staff.am/en/junior-risk-analyst-night-shifts-6
131,Technical Project Manager ,IYC technologies,26 July 2020,Yerevan,https://staff.am/en/technical-project-manager-26
132,Վաճառքի մենեջեր,Բերդ Կաթնամթերք,10 July 2020,Yerevan,https://staff.am/en/vacarki-menejer-125
133,Պանրի տեխնոլոգ,Բերդ Կաթնամթերք,10 July 2020,Chambarak,https://staff.am/en/panri-texnolog
134,Senior PHP / Laravel Developer,Innorise Entertainment LLC,26 July 2020,Yerevan,https://staff.am/en/senior-php-laravel-developer-6
135,Content Moderator,All.me LLC,09 July 2020,Yerevan,https://staff.am/en/content-moderator-18
136,Internal Auditor,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/internal-auditor-40
137,Senior Java Software Engineer,MentorcliQ,26 July 2020,Yerevan,https://staff.am/en/senior-java-software-engineer-73
138,Senior Internal Auditor ,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/senior-internal-auditor-11
139,Գործընկերների ներգրավման մասնագետ,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/gorcnkerneri-nergravman-masnaget-9
140,Senior Backend (node.js) Developer,Priotix,26 July 2020,Yerevan,https://staff.am/en/senior-backend-nodejs-developer-4
141,Ժամկետանցի կառավարման բաժնի ղեկավար,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/zamketanci-karavarman-bazni-gekavar-7
142,Senior Software Development Engineer in Test,Workfront Armenia,26 July 2020,Yerevan,https://staff.am/en/senior-software-development-engineer-in-test
143,Հյուրընկալ,Fora Premium,26 July 2020,Yerevan,https://staff.am/en/hyurnkal-3
144,Graphic designer,AraratBank OJSC,20 July 2020,Yerevan,https://staff.am/en/graphic-desinger
145,Ավագ գանձապահ «Վանաձոր» մասնաճյուղում,Fast Credit Capital UCO CJSC,26 July 2020,Vanadzor,https://staff.am/en/ganjapah-36-3
146,Graphic Designer ,Sygnoos ,26 July 2020,Yerevan,https://staff.am/en/graphic-designer-370
147,Senior Software Developer,LSOFT LTD,25 July 2020,Yerevan,https://staff.am/en/senior-software-developer-27
148,SMM Specialist,SoftConstruct,10 July 2020,Yerevan,https://staff.am/en/smm-specialist-330
149,UI/UX designer,All.me LLC,08 July 2020,Yerevan,https://staff.am/en/uiux-designer-398
150,Financial Reporting and Media Planning Unit Manager,Digitain ,18 July 2020,Yerevan,https://staff.am/en/financial-reporting-and-media-planning-unit-manager
151,Sales Manager,Bplan LLC,25 July 2020,Yerevan,https://staff.am/en/sales-manager-410
152,Call Center Agent,Armada Armenia,25 July 2020,Yerevan,https://staff.am/en/call-center-agent-4
153,Java Software Engineer,Essential,25 July 2020,Yerevan,https://staff.am/en/java-software-engineer-1
154,Software Developer,American University of Armenia Fund,16 July 2020,Yerevan,https://staff.am/en/software-developer-77
155,Associate Consultant,Գրանթ Թորնթոն ՓԲԸ,20 July 2020,Yerevan,https://staff.am/en/associate-consultant-4
156,Consultant,Գրանթ Թորնթոն ՓԲԸ,20 July 2020,Yerevan,https://staff.am/en/consultant-12
157,«Բանկային և ապահովագրական ոլորտի մասնագիտություններ» առարկայի դասախոս,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),15 July 2020,Yerevan,https://staff.am/en/bankayin-ev-apahovagrakan-olorti-masnagitutyunner-ararkayi-dasaxos
158,Ինֆորմատիկա և կիրառական մաթեմատիկա ֆակուլտետի դասախոս,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),15 July 2020,Yerevan,https://staff.am/en/informatika-ev-kirarakan-matematika-fakulteti-dasaxos
159,Digital Marketing Specialist,Art Lunch,25 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-213
160,Sr. Product Manager - Sales Tech,ServiceTitan,25 July 2020,Yerevan,https://staff.am/en/sr-product-manager-sales-tech
161,Product Manager - Inventory,ServiceTitan,25 July 2020,Yerevan,https://staff.am/en/product-manager-inventory
162,Product Manager - Accounting,ServiceTitan,25 July 2020,Yerevan,https://staff.am/en/product-manager-accounting
163,Mid Angular Developer,Devolon Armenia,25 July 2020,Yerevan,https://staff.am/en/mid-angular-developer
164,UI/UX Designer,Haypost CJSC,25 July 2020,Yerevan,https://staff.am/en/uiux-designer-395
165,Motion designer/Video Editor Freelance/Videographer,IFCMARKETS.CORP.,02 July 2020,Yerevan,https://staff.am/en/motion-designervideo-editor-freelancevideographer-1
166,Logistics Manager,Globbing,24 July 2020,Yerevan,https://staff.am/en/logistics-manager-36
167,Call Center Specialist (evening and night shift),ID Bank CJSC,10 July 2020,Yerevan,https://staff.am/en/call-center-specialist-evening-and-night-shift-1
168,Live Dealer (English or Spanish),SoftConstruct,24 July 2020,Yerevan,https://staff.am/en/live-dealer-english-or-spanish-1
169,Purchasing and Business Department Manager,Globbing,24 July 2020,Yerevan,https://staff.am/en/purchasing-and-business-department-manager-7
170,Հեռախոսազանգերի կենտրոնի Տեղեկատվական խմբի ղեկավար,ID Bank CJSC,10 July 2020,Yerevan,https://staff.am/en/heraxosazangeri-kentroni-tegekatvakan-xmbi-gekavar-1
171,Product Manager,Webb Fontaine Holding LLC,24 July 2020,Yerevan,https://staff.am/en/product-manager-155
172,Mid/PHP developer,Taxi Armenia LLC,24 July 2020,Yerevan,https://staff.am/en/midphp-developer
173,Node.js Developer,All.me LLC,02 July 2020,Yerevan,https://staff.am/en/nodejs-developer-77
174,Շուկայի զարգացման պատասխանատու,ՇԻՆԱՐԱՐԱԿԱՆ ՍՊԸ,24 July 2020,Yerevan,https://staff.am/en/sukayi-zargacman-patasxanatu-30
175,Data analyst,buymie,24 July 2020,Yerevan,https://staff.am/en/data-analyst-53
176, Sales and Service Specialist ,Ucom CJSC,15 July 2020,Yerevan,https://staff.am/en/sales-and-service-specialist-37
177,Ինժեներ,Mikshin,24 July 2020,Yerevan,https://staff.am/en/inzener-28
178,National Programme Policy Officer (School Meals Programme Implementation),UNITED NATIONS WORLD FOOD PROGRAMME - ARMENIA,08 July 2020,Yerevan,https://staff.am/en/national-programme-policy-officer-school-meals-programme-implementation
179,թվային գունավոր տպագրության սարքավորման օպերատոր/մասնագետ,"""LIMUSH"" Printing House",24 July 2020,Yerevan,https://staff.am/en/tvayin-gunavor-tpagrutyan-sarkavorman-operatormasnaget
180,Աշխղեկ,Mikshin,24 July 2020,Yerevan,https://staff.am/en/asxgek-2
181,.Net Developer (full stack),Praemium RA LLC,24 July 2020,Yerevan,https://staff.am/en/net-developer-full-stack-30
