Names,Category,Time_Open,Link,Rating
Հին Տուն Ռեստորան,Հայկական,10:00 - 22:00,https://www.menu.am/restaurant/the-old-house-restaurant.html,0
Ավենյու դե Փարիզ,"Եվրոպական, Ֆրանսիական",09:30 - 00:00,https://www.menu.am/restaurant/avenue-de-paris.html,0
Տաք-տաք Բիստրո,Արևելյան,10:00 - 20:00,https://www.menu.am/restaurant/taq-taq-bistro.html,5
Healthy Box by Առողջ Սնունդ,Առողջ ապրելակերպ,11:00 - 19:00,https://www.menu.am/restaurant/healthy-box-by-aroghj-snund.html,0
Դոս Ամիգոս,Մեքսիկական,11:00 - 00:00,https://www.menu.am/restaurant/dos-amigos.html,4.7
Դոլմա,Հայկական,11:00 - 23:00,https://www.menu.am/restaurant/dolma.html,4.3
Ալ Ֆոռնո Պիցցերիա,Իտալական,11:00 - 23:00,https://www.menu.am/restaurant/al-forno-pizzeria.html,4.4
Պուշկինի Ղարս,Արևելյան,10:00 - 22:00,https://www.menu.am/restaurant/pushkini-ghars.html,5
Քամանչա Ռեստորան,Հայկական,10:00 - 23:00,https://www.menu.am/restaurant/qamancha-restaurant.html,4
Վայն Ռեփաբլիկ,"Եվրոպական, Թայլանդական",12:00 - 21:30,https://www.menu.am/restaurant/wine-republic.html,5
ՍԿԱՏ Բիր Հաուս,Գարեջրատուն և Փաբ,13:00 - 23:45,https://www.menu.am/restaurant/skat-beer-house.html,0
Գոգնոց,Հայկական,09:00 - 21:00,https://www.menu.am/restaurant/gognoc.html,0
Գաթա,Քաղցրավենիք,09:00 - 22:00,https://www.menu.am/restaurant/gata-cakes-and-bakery.html,0
ՀՈՈՒԼ,Ըմպելիքներ և Խորտիկներ,12:00 - 19:00,https://www.menu.am/restaurant/houl.html,5
Banjareghen.am,"Միրգ և բանջարեղեն, Հայկական",08:30 - 22:00,https://www.menu.am/restaurant/banjareghenam.html,5
Ծխախոտի Տաքացման Համակարգ IQOS (Թումանյան),Եվրոպական,08:00 - 00:00,https://www.menu.am/restaurant/iqos-tobacco-heating-system-tumanyan.html,0
Ավենյու բայ Լ Օրանժ,Ասիական,10:00 - 22:00,https://www.menu.am/restaurant/avenue-by-l-orange.html,0
Մարտինի Ռոյալ,Եվրոպական,10:00 - 19:00,https://www.menu.am/restaurant/martini-royale.html,5
Սանտաֆե,Եվրոպական,12:00 - 22:00,https://www.menu.am/restaurant/santafe.html,0
Մաքուր Տուն,Կենցաղային և տնտեսական պարագաներ,09:00 - 22:00,https://www.menu.am/restaurant/clean-house.html,0
ԺանՄարի,Հայկական,10:00 - 22:00,https://www.menu.am/restaurant/janmari.html,0
Յասաման,Հայկական,10:00 - 23:00,https://www.menu.am/restaurant/yasaman.html,4.1
Շեֆ բայ Արտեզիանիկա էնդ Գուռու,Կիսաֆաբրիկատներ,08:30 - 23:00,https://www.menu.am/restaurant/chief-by-artezianca-and-gouroo.html,0
Դը Լոֆթ,Եվրոպական,24 ժամ,https://www.menu.am/restaurant/the-loft.html,4
Մասուր Ռեստորան,Եվրոպական,09:00 - 19:00,https://www.menu.am/restaurant/masoor-restaurant.html,0
Կարաս Գինիներ,Ըմպելիքներ և Խորտիկներ,09:30 - 22:00,https://www.menu.am/restaurant/karas-wine.html,0
Կիկոս Թխվածք և Պիցցա,Իտալական,Փակ է,https://www.menu.am/restaurant/kikos-dessert-and-pizza.html,0
Բարի Կաֆե և Ռեստորան,Եվրոպական,10:30 - 21:00,https://www.menu.am/restaurant/bari-cafe-and-restaurant.html,0
Բիգ Շարկ,Ճապոնական,10:00 - 20:00,https://www.menu.am/restaurant/big-shark.html,0
Ակցենտ ծորակների և ցնցուղների ցուցասրահ,Կենցաղային և տնտեսական պարագաներ,10:00 - 19:00,https://www.menu.am/restaurant/akcent-faucet-and-shower-showroom.html,0
Միս Կոմբինատ N1,Հայկական,09:00 - 22:00,https://www.menu.am/restaurant/meat-combinat-n1.html,5
Ամրակ,Մանկական,09:00 - 21:00,https://www.menu.am/restaurant/amrak-stationery.html,0
Նոր Համ,Հայկական,10:00 - 20:00,https://www.menu.am/restaurant/new-taste.html,1
Պիցցերիա Քրեյզի Բրադերս,Իտալական,11:00 - 00:00,https://www.menu.am/restaurant/pizzeria-crazy-brothers.html,3.7
Կովկաս Պանդոկ,"Արցախյան, Հայկական, Վրացական",24 ժամ,https://www.menu.am/restaurant/kovkas.html,4.1
Լիբանանյան շաուրմա ,"Լիբանանյան, Արևելյան",14:00 - 04:00,https://www.menu.am/restaurant/lebanon-shawarma.html,4
Լաբիրինթ,"Եվրոպական, Հայկական",11:00 - 02:30,https://www.menu.am/restaurant/labeerint.html,4.2
Լյումիեր,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 21:00,https://www.menu.am/restaurant/lumiere-gift-card.html,0
Հռոմ Ռեստորան,Եվրոպական,10:00 - 21:00,https://www.menu.am/restaurant/rome-restaurant.html,0
Մինուռ,Եվրոպական,09:00 - 22:00,https://www.menu.am/restaurant/minour.html,0
Հարվի,"Միրգ և բանջարեղեն, Գաստրոնոմ, Հայկական",09:00 - 18:00,https://www.menu.am/restaurant/harvy.html,0
Բլեք Սթար Բուրգեր,Ամերիկյան,11:00 - 02:00,https://www.menu.am/restaurant/black-star-burger.html,4.4
Թալինի Թոնրատուն,Հայկական,09:00 - 20:50,https://www.menu.am/restaurant/talini-tonratun.html,3.3
Դեգուսթեյշն,"Ամերիկյան, Արևելյան, Իտալական, Հայկական, Մեքսիկական",11:00 - 21:30,https://www.menu.am/restaurant/degustation.html,4.6
Պիցցա Թայմ,Իտալական,10:00 - 23:30,https://www.menu.am/restaurant/pizza-time.html,5
Լազիզ,"Արևելյան, Եվրոպական",11:00 - 23:00,https://www.menu.am/restaurant/laziz.html,4.1
Լյուքսուս Հաուս,ՆՎԵՐ ՔԱՐՏԵՐ,11:00 - 19:00,https://www.menu.am/restaurant/luxus-haus-gift-card.html,0
Պիվնիցա,Գարեջրատուն և Փաբ,12:00 - 23:00,https://www.menu.am/restaurant/pivnitsa.html,1
Թոմի Հիլֆիգեր,ՆՎԵՐ ՔԱՐՏԵՐ,10:30 - 21:30,https://www.menu.am/restaurant/tommy-hilfiger-gift-card.html,5
Օստ Գինի և Ուտելիք,"Արևելյան, Հայկական",11:00 - 23:30,https://www.menu.am/restaurant/ost-foods-and-wine.html,3.9
Քելվին Քլայն,ՆՎԵՐ ՔԱՐՏԵՐ,10:30 - 21:30,https://www.menu.am/restaurant/calvin-klein-gift-card.html,0
Բաբելոն Ռեստորան,Արևելյան,10:00 - 22:30,https://www.menu.am/restaurant/babylon.html,4
Խուտոռոկ,Ուկրաինական,10:00 - 21:00,https://www.menu.am/restaurant/khutorok.html,0
Նաիրիան,"Գեղեցկություն և առողջություն, Արտադրված է Հայաստանում",10:00 - 20:00,https://www.menu.am/restaurant/nairian.html,0
Ֆիկա Սուրճ,Սուրճ և Թեյ,09:00 - 18:00,https://www.menu.am/restaurant/fika-coffee.html,0
Վեգա,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 20:00,https://www.menu.am/restaurant/vega-gift-card.html,0
Պիցցա Փարթի,Իտալական,11:00 - 23:00,https://www.menu.am/restaurant/pizza-party.html,4.2
Բիբլոս,Արևելյան,11:00 - 22:45,https://www.menu.am/restaurant/byblos.html,4.1
Փասթրամի,Ամերիկյան,11:00 - 00:00,https://www.menu.am/restaurant/pastrami.html,4.5
Մուզ Կաֆե,Իտալական,11:00 - 23:59,https://www.menu.am/restaurant/muz-cafe.html,0
Փոմ Թրի,"Արևելյան, Եվրոպական, Հայկական",12:00 - 23:00,https://www.menu.am/restaurant/pome-tree.html,0
Փիթսա Փազտա,Իտալական,11:00 - 00:00,https://www.menu.am/restaurant/pitsa-pazta.html,4.8
Օրիենտո,Արևելյան,11:00 - 21:30,https://www.menu.am/restaurant/oriento.html,0
Մոնո,"Քաղցրավենիք, Հացաբուլկեղեն",10:30 - 20:00,https://www.menu.am/restaurant/mono.html,4.4
Ինդիան Մեհակ Ռեստորան,"Ասիական, Հնդկական",13:00 - 22:30,https://www.menu.am/restaurant/indian-mehak-restaurant.html,4.2
Ռուբի,Եվրոպական,09:00 - 23:30,https://www.menu.am/restaurant/rooby.html,0
Իթ ընդ Ֆիթ,"Եվրոպական, Նախաճաշ",09:00 - 20:00,https://www.menu.am/restaurant/eat-and-fit.html,4.8
Յամ-Յամ Դոնաթս Աբովյան,"Քաղցրավենիք, Ամերիկյան",11:00 - 20:00,https://www.menu.am/restaurant/yum-yum-donuts-yerevan.html,4.5
Օստ Բիստրո,"Արևելյան, Հայկական",10:30 - 21:30,https://www.menu.am/restaurant/ost-bistro-mashtots.html,4.2
Սաբթայթլ,"Ամերիկյան, Բուրգեր և Սենդվիչ",10:00 - 23:59,https://www.menu.am/restaurant/subtitle.html,4.6
Ռեյմա Ռիո մոլ,ՆՎԵՐ ՔԱՐՏԵՐ,12:00 - 22:00,https://www.menu.am/restaurant/reyma-gift-card-rio-mall.html,0
Զեյթունա,"Արևելյան, Սիրիական",12:00 - 23:00,https://www.menu.am/restaurant/zeituna.html,4.4
ՓիթՍտոպ Բուրգեր ,Ամերիկյան,11:00 - 04:00,https://www.menu.am/restaurant/pitstop-burger.html,4.6
Ջազզվե,Եվրոպական,10:00 - 00:00,https://www.menu.am/restaurant/jazzve.html,3
ԳԻՊՖԵԼ,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 22:00,https://www.menu.am/restaurant/gipfel-gift-card.html,0
Թայ Թեյք Ուեյ,Թայլանդական,10:00 - 20:00,https://www.menu.am/restaurant/thai-take-away.html,0
Գարուն բայ Առողջ Սնունդ,Եվրոպական,10:00 - 19:00,https://www.menu.am/restaurant/garun-by-aroghj-snund.html,3.9
Փարաքարի շաուրմա և Թուրինգյան բրաթվուրստ,Գերմանական,10:00 - 19:00,https://www.menu.am/restaurant/paraqari-shawarma-and-thuringer-bratwurst.html,4.9
Արաքս Ռեստորան,Արևելյան,11:00 - 22:00,https://www.menu.am/restaurant/araks-restaurant.html,4.1
Կասա դե Էսպանա,"Եվրոպական, Իսպանական",12:00 - 19:00,https://www.menu.am/restaurant/casa-de-espana.html,2.7
Մր. Գիրոս,"Եվրոպական, Հունական",10:00 - 01:00,https://www.menu.am/restaurant/mr-gyros-komitas.html,4.4
Վոկ ընդ Ռոլ,"Ասիական, Թայլանդական",11:00 - 23:45,https://www.menu.am/restaurant/wok-and-roll.html,4
Նյու ՏԱՕ,"Չինական, Ասիական, Ճապոնական",10:30 - 23:30,https://www.menu.am/restaurant/new-tao.html,4.5
Սերգեյ Զվերևի Բյութի Սալոն,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 19:00,https://www.menu.am/restaurant/beauty-salon-sergey-zverev-gift-card.html,0
Կաֆե Ցենտրալ Ռեստորան,Եվրոպական,11:00 - 23:00,https://www.menu.am/restaurant/cafe-central-restaurant.html,5
Գերմանական Դոնեռ,"Գերմանական, Արևելյան",Փակ է,https://www.menu.am/restaurant/german-doner.html,3.9
Զանգակ Գրատուն,Գրքեր,09:00 - 14:00,https://www.menu.am/restaurant/zangak-gratun.html,5
Մամիտաս Ֆիլիպինյան Խոհանոց,Ասիական,11:00 - 22:30,https://www.menu.am/restaurant/mamitas-filipino-cuisine.html,3.5
Պարտեզ Թոնրատուն,Հայկական,10:00 - 23:59,https://www.menu.am/restaurant/partez-tonratun.html,4.3
Սերվիս Լենդ,"Միրգ և բանջարեղեն, Հայկական",09:00 - 21:00,https://www.menu.am/restaurant/service-land.html,5
Տորտիտո,Գաստրոնոմ,10:00 - 21:00,https://www.menu.am/restaurant/tortito.html,5
Կանթեղ Ռեստորան,"Եվրոպական, Հայկական",10:00 - 23:30,https://www.menu.am/restaurant/kantegh-restaurant.html,3.9
Գուդիս Բուրգեր Հաուս,Հունական,12:00 - 22:00,https://www.menu.am/restaurant/goodys-burger-house.html,3.6
Ֆլաուերս Հոմ,Ծաղիկներ և Փուչիկներ,24 ժամ,https://www.menu.am/restaurant/flower-s-home.html,5
Պաստա Հաուս,Իտալական,10:30 - 23:59,https://www.menu.am/restaurant/pasta-house.html,2
Ֆեմիլի Հաուս Ռեստորան,Հայկական,12:00 - 19:00,https://www.menu.am/restaurant/family-house-restaurant.html,4.4
21 Սուշի Քլաբ,Ճապոնական,14:00 - 02:00,https://www.menu.am/restaurant/21-sushi-club.html,4.2
Թոշկա,Սիրիական,11:00 - 18:00,https://www.menu.am/restaurant/toshka.html,3
Համով Հոտով,Հայկական,10:00 - 00:00,https://www.menu.am/restaurant/hamov-hotov.html,4.1
Բուկինիստ Գրախանութների Ցանց,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 21:00,https://www.menu.am/restaurant/bookinist-bookstores-chain-gift-card.html,0
Պոնչի Ղարս,Հայկական,10:00 - 22:30,https://www.menu.am/restaurant/ponchi-ghars.html,5
Սիթի Թրեյլեր,Եվրոպական,10:00 - 23:00,https://www.menu.am/restaurant/city-trailer.html,0
Մայ Ռոզ,Ծաղիկներ և Փուչիկներ,09:00 - 00:30,https://www.menu.am/restaurant/my-rose-flowers.html,2.5
Պիցցա Հատ,Ամերիկյան,10:00 - 22:00,https://www.menu.am/restaurant/pizza-hut.html,4.2
Grill.am,Հայկական,24 ժամ,https://www.menu.am/restaurant/grillam.html,4.3
Haf-Haf,Ընտանի կենդանիների կերեր,10:00 - 22:00,https://www.menu.am/restaurant/haf-haf.html,4.4
Ալֆա Ֆարմ,"Գեղեցկություն և առողջություն, Մանկական",24 ժամ,https://www.menu.am/restaurant/alfa-pharm.html,5
ԱԿՕ Սուշի,Ճապոնական,10:00 - 03:00,https://www.menu.am/restaurant/ako-sushi.html,4.3
Դռագոն Գարդեն,"Չինական, Ասիական, Թայլանդական",11:30 - 23:30,https://www.menu.am/restaurant/dragon-garden.html,4.7
Մամա Միա,"Եվրոպական, Իտալական",10:30 - 00:00,https://www.menu.am/restaurant/mama-mia.html,4.7
Գաստրոպոլիս,"Ասիական, Արևելյան, Իտալական, Հայկական",10:00 - 21:00,https://www.menu.am/restaurant/gastropolis.html,3.9
Լա Քուչինա,"Եվրոպական, Իտալական",11:00 - 23:00,https://www.menu.am/restaurant/la-cucina.html,4.4
Բոլիվուդ Կաֆե,"Ասիական, Հնդկական",09:00 - 23:30,https://www.menu.am/restaurant/bollywood-cafe.html,2.8
Մաթևոսյան Վայն,Ըմպելիքներ և Խորտիկներ,10:00 - 17:00,https://www.menu.am/restaurant/matevosyan-wine.html,5
Ճրագ,Հայկական,10:00 - 23:00,https://www.menu.am/restaurant/chrag.html,3.7
Հայաթ Շաուրմա,Արաբական,11:00 - 21:00,https://www.menu.am/restaurant/hayat-shaurma.html,5
Կարպիզա,ՆՎԵՐ ՔԱՐՏԵՐ,11:00 - 20:30,https://www.menu.am/restaurant/carpisa-gift-card.html,0
ՍակՎոյաժ,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 22:00,https://www.menu.am/restaurant/sacvoyage-gift-card.html,0
Ֆուգու,"Ասիական, Թայլանդական",11:00 - 23:45,https://www.menu.am/restaurant/fugu.html,3.8
Քուին Լանջըրի,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 22:00,https://www.menu.am/restaurant/queen-lingerie-gift-card.html,0
ՎիԲիս Բուրգեր,Ամերիկյան,12:00 - 04:00,https://www.menu.am/restaurant/vbs-burger.html,4.3
Միհուլ Հնդկական Ռեստորան,"Ասիական, Հնդկական",12:30 - 23:00,https://www.menu.am/restaurant/mihul.html,3.8
Փեն Բոքս,ՆՎԵՐ ՔԱՐՏԵՐ,09:00 - 21:00,https://www.menu.am/restaurant/pen-box-gift-card.html,0
Մոն Բլան,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 22:00,https://www.menu.am/restaurant/mont-blanc-gift-card.html,0
Ալիսա Քեյք,Քաղցրավենիք,08:00 - 18:00,https://www.menu.am/restaurant/alisa-cake.html,0
Էքուիփ,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 22:00,https://www.menu.am/restaurant/equip-gift-card.html,0
Մամս Բեյքերի,"Քաղցրավենիք, Հացաբուլկեղեն",09:00 - 21:00,https://www.menu.am/restaurant/mom-s-bakery.html,5
ՄիլԱնի,Ծաղիկներ և Փուչիկներ,10:00 - 00:00,https://www.menu.am/restaurant/milani.html,0
Նաիրիան Նվեր Քարտ,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 20:00,https://www.menu.am/restaurant/nairian-gift-card.html,0
Հեյզ,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 20:00,https://www.menu.am/restaurant/haze-gift-card.html,0
Կալիպսո Դալմա Գարդեն մոլլ,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 22:00,https://www.menu.am/restaurant/calypso-gift-card.html,0
Պիցցա Ռիալտո,Իտալական,11:00 - 23:59,https://www.menu.am/restaurant/pizza-rialto.html,3.2
Գուռու Ակումբ և Այգի,"Քաղցրավենիք, Եվրոպական",10:00 - 23:00,https://www.menu.am/restaurant/gouroo-club-and-garden.html,4.2
Ֆլեյվրս օֆ Ինդիա,"Ասիական, Հնդկական",08:00 - 22:45,https://www.menu.am/restaurant/flavours-of-india.html,3
10-ից 10 Ռեստորան,Հայկական,10:00 - 00:00,https://www.menu.am/restaurant/10-from-10-restaurant.html,0
Բեքյարդ,"Ամերիկյան, Իտալական",10:00 - 22:00,https://www.menu.am/restaurant/backyard.html,4.3
SushiMall.am,"Չինական, Ասիական, Ճապոնական",11:00 - 00:00,https://www.menu.am/restaurant/sushimallam.html,3.8
Սոհո,"Քաղցրավենիք, Սուրճ և Թեյ",09:00 - 23:00,https://www.menu.am/restaurant/soho-patisserie-and-chocolaterie.html,4.6
Ապերիտիվո,Եվրոպական,07:00 - 01:00,https://www.menu.am/restaurant/aperitivo.html,5
